time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0.034,0.879769,0.0145721,-0.0951226,-1.87252,0.00111522,1.887,0.783955,-0.00101387,2.06831e-05,0.000554806,9.55359e-05,-0.000127042,-6.21497e-06,-0.00216152,0,0,0,0,0,0,0,1,0.000354126,0.000213989,0,0.000354074,-1,0.000244289,0,0.000214076,-0.000244213,-1,0,0.400077,0.399927,0.49976,1
0.035,0.879771,0.0145774,-0.0951226,-1.87251,0.00111817,1.887,0.78397,0.000159307,0.00177703,0.000369871,0.000903616,-8.46947e-05,-0.000377149,0.00418779,0,0,0,0,0,0,0,1,0.000341112,0.000212996,0,0.000341061,-1,0.000242031,0,0.000213078,-0.000241958,-1,0,0.400077,0.39993,0.499759,1
0.036,0.879771,0.0145721,-0.0951226,-1.87252,0.00111596,1.887,0.783966,0.000106205,-0.000578553,0.00024658,-0.00199251,-5.64631e-05,0.000494543,0.000519995,0,0,0,0,0,0,0,1,0.000346147,0.000212679,0,0.000346095,-1,0.000244607,0,0.000212764,-0.000244533,-1,0,0.400076,0.399928,0.499758,1
0.037,0.879769,0.0145696,-0.0951226,-1.87252,0.00111841,1.88701,0.783968,-0.000764415,-0.00122092,0.000164387,0.000437543,-3.76421e-05,-0.000416297,0.00187254,0,0,0,0,0,0,0,1,0.000340702,0.000215219,0,0.000340651,-1,0.000238436,0,0.000215301,-0.000238363,-1,0,0.400077,0.399927,0.499761,1
0.038,0.879771,0.0145749,-0.0951173,-1.87252,0.00111604,1.88701,0.783966,0.000325608,0.000949291,0.00187283,0.000293681,-2.50947e-05,0.000468448,-0.000277518,0,0,0,0,0,0,0,1,0.000351397,0.000214265,0,0.000351345,-1,0.00024318,0,0.000214351,-0.000243104,-1,0,0.400075,0.399931,0.499759,1
0.039,0.879771,0.0145721,-0.0951226,-1.87251,0.00111626,1.88701,0.783963,0.000217072,-0.000295159,-0.000514685,0.00103249,0.000322354,-6.0698e-05,-0.00130399,0,0,0,0,0,0,0,1,0.000348592,0.000219059,0,0.00034854,-1,0.000237829,0,0.000219142,-0.000237753,-1,0,0.400077,0.399929,0.499762,1
0.04,0.879771,0.0145721,-0.0951226,-1.87252,0.00111407,1.887,0.783959,0.000144715,-0.000196773,-0.000343123,-0.00107379,-0.000429357,-0.000413461,-0.0023613,0,0,0,0,0,0,0,1,0.000353476,0.000214342,0,0.000353423,-1,0.000245484,0,0.000214429,-0.000245408,-1,0,0.400076,0.399928,0.499759,1
0.041,0.879771,0.0145721,-0.0951226,-1.87252,0.00111489,1.887,0.783958,9.64764e-05,-0.000131182,-0.000228749,0.000212997,1.89377e-05,9.73496e-05,-0.000828213,0,0,0,0,0,0,0,1,0.000354113,0.000215999,0,0.000354061,-1,0.00024272,0,0.000216084,-0.000242644,-1,0,0.400076,0.399929,0.499761,1
0.042,0.879774,0.0145696,-0.0951254,-1.87252,0.00111908,1.887,0.783966,0.000992338,-0.000922673,-0.00108052,-0.000785393,0.000351709,0.000437891,0.0024318,0,0,0,0,0,0,0,1,0.000344897,0.000211941,0,0.000344846,-1,0.000240873,0,0.000212024,-0.0002408,-1,0,0.400075,0.399928,0.49976,1
0.043,0.879777,0.0145669,-0.0951173,-1.87251,0.00112013,1.887,0.783964,0.00149678,-0.00154313,0.00197091,0.00124011,0.000234473,-8.10668e-05,0.000129229,0,0,0,0,0,0,0,1,0.000356759,0.00021682,0,0.000356709,-1,0.000234048,0,0.000216904,-0.000233971,-1,0,0.400071,0.399933,0.499764,1
0.044,0.879774,0.0145749,-0.0951254,-1.87252,0.00111536,1.887,0.783966,0.000162633,0.0016625,-0.00137732,0.000827096,-0.000487945,0.000318947,0.000459145,0,0,0,0,0,0,0,1,0.00034559,0.000214559,0,0.000345538,-1,0.000243966,0,0.000214644,-0.000243892,-1,0,0.400077,0.399929,0.499759,1
0.045,0.879771,0.0145774,-0.0951226,-1.87251,0.00111954,1.887,0.783954,-0.000819598,0.00194355,9.80879e-06,0.00147968,0.000318964,-0.000160362,-0.00305084,0,0,0,0,0,0,0,1,0.000357263,0.0002109,0,0.000357212,-1,0.000242283,0,0.000210987,-0.000242208,-1,0,0.400077,0.39993,0.499759,1
0.046,0.879771,0.0145749,-0.0951226,-1.87252,0.00111607,1.887,0.783957,-0.000546399,0.000460483,6.53919e-06,-0.0017046,-0.000126442,0.000266084,-0.0016609,0,0,0,0,0,0,0,1,0.000354962,0.000211285,0,0.00035491,-1,0.000246214,0,0.000211372,-0.000246139,-1,0,0.400076,0.399929,0.499757,1
0.047,0.879774,0.0145721,-0.0951201,-1.87252,0.00111434,1.887,0.783958,0.000563754,-0.000621031,0.000839577,-0.000208234,-0.00038947,-0.000195604,1.17122e-05,0,0,0,0,0,0,0,1,0.000359904,0.000215834,0,0.000359852,-1,0.000243574,0,0.000215922,-0.000243496,-1,0,0.400074,0.399931,0.49976,1
0.048,0.879777,0.0145696,-0.0951226,-1.87252,0.00112113,1.887,0.783964,0.00121105,-0.00124924,-0.0002755,-0.00106673,0.00102887,0.000581674,0.00224576,0,0,0,0,0,0,0,1,0.000351898,0.000212601,0,0.000351847,-1,0.0002374,0,0.000212685,-0.000237325,-1,0,0.400074,0.399931,0.499761,1
0.049,0.879771,0.0145749,-0.0951201,-1.87252,0.00111916,1.887,0.783971,-0.000955868,0.000930412,0.000651551,0.00105217,-0.000297429,-0.000697287,0.00302305,0,0,0,0,0,0,0,1,0.00034221,0.0002105,0,0.000342159,-1,0.000242806,0,0.000210583,-0.000242734,-1,0,0.400075,0.39993,0.499759,1
0.05,0.879774,0.0145749,-0.0951226,-1.87252,0.00111948,1.887,0.783961,0.000290774,0.000620275,-0.00040085,-0.00013371,-0.000198286,0.000281127,-0.000629487,0,0,0,0,0,0,0,1,0.000352559,0.000211148,0,0.000352508,-1,0.000241775,0,0.000211233,-0.000241701,-1,0,0.400075,0.39993,0.499759,1
0.051,0.879774,0.0145721,-0.0951226,-1.87252,0.00112162,1.887,0.783962,0.00019385,-0.000514503,-0.000267234,-8.90926e-05,0.000545978,-0.000185575,-0.00079265,0,0,0,0,0,0,0,1,0.000350535,0.000209518,0,0.000350485,-1,0.000240151,0,0.000209602,-0.000240078,-1,0,0.400075,0.39993,0.499759,1
0.052,0.879771,0.0145721,-0.0951201,-1.87252,0.00112166,1.887,0.783959,-0.000798787,-0.000343002,0.000657062,-5.93597e-05,0.000363985,-0.000496709,-0.0020204,0,0,0,0,0,0,0,1,0.000353899,0.000209799,0,0.000353849,-1,0.00023977,0,0.000209884,-0.000239696,-1,0,0.400075,0.39993,0.49976,1
