time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0.055,-0.525397,0.0787637,-0.522823,-1.805,0.040664,1.87299,-1.05876,0.00105165,0.000667301,-0.000204441,-0.00120789,5.77908e-05,-0.000382301,0.000853267,0,0,0,0,0,0,0,1,-0.000231416,-0.000439793,0,-0.00023133,-1,0.000194232,0,-0.000439837,-0.00019413,-1,0,0.300014,-0.49997,0.499786,1
0.056,-0.5254,0.0787609,-0.522821,-1.80499,0.040666,1.87299,-1.05877,-0.000226917,-0.000483153,0.000698924,2.9831e-05,0.000716696,0.00086411,-0.00207601,0,0,0,0,0,0,0,1,-0.000224326,-0.000432812,0,-0.000224239,-1,0.000199401,0,-0.000432857,-0.000199304,-1,0,0.300014,-0.499971,0.499789,1
0.057,-0.525403,0.0787609,-0.522821,-1.80499,0.040665,1.87299,-1.05876,-0.000986496,-0.000322102,0.000465949,0.000947811,0.000138713,-0.000542904,0.000480955,0,0,0,0,0,0,0,1,-0.000232032,-0.000433949,0,-0.000231946,-1,0.000199297,0,-0.000433996,-0.000199196,-1,0,0.300012,-0.499972,0.49979,1
0.058,-0.5254,0.0787637,-0.522821,-1.80499,0.040664,1.87299,-1.05876,0.00110557,0.000713285,0.000310633,0.000631802,-0.000246609,0.000384049,0.00147352,0,0,0,0,0,0,0,1,-0.000232049,-0.000436121,0,-0.000231962,-1,0.000200307,0,-0.000436167,-0.000200206,-1,0,0.300014,-0.499971,0.499789,1
0.059,-0.525408,0.0787637,-0.522823,-1.80499,0.0406631,1.87299,-1.05877,-0.00195421,0.000475524,-0.000628129,-0.000506873,-0.000469582,-0.00011696,-0.00315448,0,0,0,0,0,0,0,1,-0.000230764,-0.000438929,0,-0.000230677,-1,0.00019751,0,-0.000438975,-0.000197408,-1,0,0.300008,-0.499974,0.499787,1
0.06,-0.525406,0.0787609,-0.522823,-1.80499,0.0406631,1.87299,-1.05877,-0.000374786,-0.000611004,-0.000418753,0.000590064,-0.000313055,-0.000450966,-0.000984008,0,0,0,0,0,0,0,1,-0.000231468,-0.000434119,0,-0.00023138,-1,0.000203109,0,-0.000434166,-0.000203008,-1,0,0.30001,-0.499974,0.49979,1
0.061,-0.525404,0.0787605,-0.522821,-1.80499,0.040665,1.87299,-1.05876,-0.000249857,-0.00124255,0.000556049,0.000393345,0.000435557,7.23487e-05,0.00161586,0,0,0,0,0,0,0,1,-0.000234294,-0.000432572,0,-0.000234207,-1,0.000201355,0,-0.00043262,-0.000201253,-1,0,0.300012,-0.499972,0.49979,1
0.062,-0.525401,0.0787612,-0.522826,-1.80499,0.040665,1.87299,-1.05875,0.000668646,-0.000828369,-0.00139254,-0.000665813,0.000290371,4.82325e-05,0.00256921,0,0,0,0,0,0,0,1,-0.000240958,-0.000435132,0,-0.000240871,-1,0.000198337,0,-0.00043518,-0.000198232,-1,0,0.300011,-0.499972,0.499789,1
0.063,-0.5254,0.0787646,-0.522826,-1.80499,0.040664,1.87299,-1.05877,0.000445764,0.00121099,-0.000928359,0.00131935,-0.000145503,0.000405148,-0.00279701,0,0,0,0,0,0,0,1,-0.000226689,-0.000435845,0,-0.000226601,-1,0.000202448,0,-0.000435891,-0.00020235,-1,0,0.300012,-0.499973,0.499789,1
0.064,-0.5254,0.0787634,-0.522818,-1.805,0.040664,1.87299,-1.05877,0.000297176,-0.000120692,0.00207235,-0.000883687,-9.70022e-05,-0.000475887,-0.00149168,0,0,0,0,0,0,0,1,-0.000219972,-0.000437708,0,-0.000219886,-1,0.000196864,0,-0.000437751,-0.000196768,-1,0,0.300015,-0.49997,0.499786,1
0.065,-0.525405,0.0787639,-0.522813,-1.80499,0.040664,1.87299,-1.05876,-0.0006371,-8.04615e-05,0.00221679,0.000338886,-6.46681e-05,-0.000317258,0.00239639,0,0,0,0,0,0,0,1,-0.00022997,-0.000436897,0,-0.000229883,-1,0.000198078,0,-0.000436943,-0.000197977,-1,0,0.300015,-0.49997,0.499788,1
0.066,-0.525408,0.078764,-0.522818,-1.80499,0.040665,1.87299,-1.05876,-0.00135275,-5.3641e-05,-0.000285381,0.000225916,0.000295972,-0.000584498,0.0012246,0,0,0,0,0,0,0,1,-0.00023727,-0.000438108,0,-0.000237184,-1,0.000194787,0,-0.000438154,-0.000194683,-1,0,0.300011,-0.499972,0.499787,1
0.067,-0.525396,0.078762,-0.522825,-1.80499,0.0406631,1.87299,-1.05877,0.00262464,-3.57606e-05,-0.00195349,0.000150606,-0.000446945,-1.66726e-05,-0.00182846,0,0,0,0,0,0,0,1,-0.000223467,-0.0004365,0,-0.00022338,-1,0.000200273,0,-0.000436545,-0.000200176,-1,0,0.300014,-0.499971,0.499788,1
0.068,-0.525403,0.0787662,-0.522821,-1.805,0.040664,1.87299,-1.05877,-0.000848696,0.000904179,0.00046091,-0.00082762,7.21228e-06,-0.000384108,-0.00159196,0,0,0,0,0,0,0,1,-0.000225255,-0.000442316,0,-0.00022517,-1,0.000191951,0,-0.00044236,-0.000191851,-1,0,0.300013,-0.499971,0.499784,1
0.069,-0.525405,0.0787639,-0.522823,-1.80499,0.0406631,1.87299,-1.05876,-0.000565797,-0.000325234,-0.000527945,0.00121149,-0.000300368,-0.000256072,0.00195654,0,0,0,0,0,0,0,1,-0.000238392,-0.000437861,0,-0.000238305,-1,0.000199464,0,-0.000437908,-0.000199359,-1,0,0.30001,-0.499973,0.499789,1
0.07,-0.525398,0.078764,-0.522823,-1.805,0.040665,1.87299,-1.05876,0.00138604,-0.000216822,-0.000351963,-0.000955582,0.000444015,0.000202278,-0.000967504,0,0,0,0,0,0,0,1,-0.000225777,-0.00044041,0,-0.000225692,-1,0.000191557,0,-0.000440453,-0.000191457,-1,0,0.300013,-0.49997,0.499785,1
0.071,-0.525403,0.0787616,-0.522821,-1.805,0.040665,1.87299,-1.05877,-3.99344e-06,-0.000979766,0.000600576,0.000290964,0.00029601,0.000134852,-0.00176398,0,0,0,0,0,0,0,1,-0.00022423,-0.000436365,0,-0.000224145,-1,0.000195772,0,-0.000436408,-0.000195675,-1,0,0.300012,-0.499971,0.499788,1
